SESSION_ID,politics,Harmed,Unnat,Friend,Duties,Rights,Group,Loyalty,Violence,Desires,Profiting,Decency,Unfair,Interests,Weak,Author,Uplifting,Rank,Emotionally,Traditions,Treated,Betray,Respect,Slap,Heritage,Chastity,Romantic,Revolting,Wellbeing,Compassion,Line,Kill,Grouploy,Govharm,Sexroles,Soldier,Sin,Justice,Wrongdisgust,Fairly,Kidrespect,education,income2,gender,Age,TerrorRev,BrotherRev
419435,-3,6,3,4,4,6,5,2,6,4,6,6,5,4,5,6,5,4,6,1,5,4,2,5,2,2,3,1,1,5,1,6,2,6,1,1,4,5,1,5,2,4,,1,19,5,4
419863,-3,5,4,,4,6,3,4,6,4,3,2,5,5,6,5,4,2,4,5,6,4,3,5,3,4,1,4,2,6,5,5,1,4,1,4,1,6,4,5,6,4,,1,27,4,2
398687,-3,6,4,4,3,6,2,3,6,2,3,2,5,3,5,3,2,2,4,1,6,3,4,,,,,,,,,,,,,,,,,,,5,,1,20,,
417805,-3,6,4,5,2,5,5,2,6,6,4,3,5,1,4,5,3,5,6,2,4,2,3,6,1,4,3,2,2,6,3,3,3,6,1,3,1,6,4,6,5,5,,1,21,3,3
422649,-3,6,2,4,2,6,3,3,4,2,4,2,6,4,5,3,3,4,4,1,6,4,2,,,,,,,,,,,,,,,,,,,5,,1,20,,
397769,-3,1,1,1,1,6,3,1,4,1,6,1,6,6,4,4,1,1,3,1,6,1,2,4,1,2,1,1,1,6,6,6,1,6,1,1,1,6,1,6,3,5,1,-1,19,6,5
395821,-3,5,5,5,5,6,5,2,5,3,6,1,5,5,5,2,3,1,6,1,6,4,1,1,1,1,3,1,1,5,3,6,2,1,1,4,1,6,2,5,1,5,1,-1,19,6,5
424189,-3,6,2,3,3,6,3,2,6,4,3,4,4,3,6,6,4,3,6,5,6,6,6,6,4,4,2,3,1,6,2,6,1,6,2,1,1,6,4,6,6,5,1,1,25,6,1
397458,-3,6,6,6,4,6,2,4,5,4,5,2,6,6,6,6,5,3,6,1,6,6,2,,,,,,,,,,,,,,,,,,,5,1,1,21,,
418084,-3,6,3,4,2,6,4,4,5,2,5,2,4,4,6,6,2,5,6,3,6,3,2,6,2,1,1,1,1,6,4,1,1,4,1,5,1,6,1,5,1,5,1,1,30,4,4
417401,-3,6,3,5,3,6,3,2,6,3,5,1,4,4,5,5,2,4,5,2,6,3,2,,,,,,,,,,,,,,,,,,,5,1,1,23,,
