SESHID,politics,harmed1,suffered1,violence1,differently1,rights1,unfairly1,betray1,friend1,loyalty1,rank1,duties1,respect1,disgust1,purity1,unnatural1,income2,education,gender,Age
209718,-2,6,6,6,5,5,6,4,2,5,1,6,5,5,5,6,4,5,1,41
209735,-2,6,5,4,4,6,5,4,2,3,1,4,2,3,2,5,4,7,1,32
209854,-2,2,4,3,5,5,4,1,2,4,1,4,4,3,6,4,3,5,-1,28
209879,-2,6,5,5,5,5,5,3,4,4,3,4,4,3,3,3,3,8,1,36
211873,-2,5,,6,3,6,5,2,3,5,3,5,4,4,4,4,2,7,1,24
209989,-2,6,2,5,2,4,2,2,3,2,2,5,2,2,2,2,4,9,1,44
210071,-2,6,5,6,5,6,5,2,3,5,3,6,5,3,3,2,5,10,-1,59
210101,-2,6,4,5,4,6,4,4,1,4,2,5,4,4,6,4,3,12,-1,46
210166,-2,4,3,4,3,4,4,4,4,4,3,4,2,4,3,4,5,10,-1,34
210184,-2,6,5,5,5,6,6,4,5,3,4,4,3,4,6,5,,7,1,21
210217,-2,6,6,6,6,5,5,2,1,3,2,3,1,1,2,2,4,9,-1,31
210197,-2,6,6,6,6,6,6,5,5,4,2,5,6,4,3,6,4,5,1,21
210208,-2,5,4,3,6,6,4,2,4,2,1,4,2,2,1,4,3,4,1,24
210230,-2,4,4,6,6,6,6,2,1,5,2,6,6,4,1,4,1,7,1,25
210278,-2,6,6,6,6,6,6,3,3,6,6,6,6,2,6,6,4,10,1,57
210281,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,-1,21
210296,-2,5,5,5,6,6,5,5,3,4,6,4,6,4,4,5,4,5,-1,20
210325,-2,6,5,5,5,6,6,5,4,5,3,5,3,3,3,4,4,5,1,19
210361,-2,6,6,6,5,6,5,2,6,3,2,3,2,3,3,6,1,5,1,28
210393,-2,6,4,5,5,6,4,2,2,4,1,5,4,4,3,4,1,5,-1,28
210477,-2,6,6,6,4,5,5,2,5,2,6,2,5,5,5,4,3,5,1,23
210481,-2,5,3,4,6,6,6,2,2,3,1,5,5,1,4,5,1,5,-1,25
210491,-2,5,4,6,5,5,4,5,5,3,3,5,4,4,3,4,2,4,1,18
210502,-2,6,5,6,5,6,5,3,4,5,1,5,3,4,4,6,2,7,1,27
210511,-2,6,4,6,4,5,6,3,2,4,2,3,4,3,5,4,4,9,-1,58
210537,-2,6,4,6,4,3,5,2,5,6,2,3,2,4,4,3,1,7,1,30
210637,-2,6,6,6,4,6,5,6,1,3,1,4,2,2,2,2,3,7,1,49
210986,-2,6,6,6,6,6,6,6,3,6,3,3,1,2,1,3,1,5,-1,25
211231,-2,5,5,6,6,6,6,3,4,3,2,5,6,6,4,5,,3,-1,20
211226,-2,6,6,6,6,6,6,3,4,6,3,6,3,4,3,6,2,9,1,32
211229,-2,3,4,4,3,4,5,4,1,4,1,4,6,4,5,5,4,10,-1,49
211282,-2,6,5,6,6,6,6,4,4,1,1,6,4,1,1,4,1,10,-1,25
211326,-2,6,6,6,4,3,6,5,6,6,2,6,4,6,3,3,1,9,1,25
211331,-2,6,2,6,6,6,1,6,1,6,1,6,3,6,1,6,4,5,1,54
211401,-2,4,2,4,3,5,3,3,6,2,2,5,3,2,3,4,2,7,-1,23
211501,-2,1,4,6,6,6,6,4,1,6,1,6,2,3,3,3,1,7,-1,30
211502,-2,6,5,6,6,6,5,1,4,4,5,5,2,2,4,3,4,12,1,43
211644,-2,4,4,6,6,6,6,3,2,3,2,6,5,2,4,2,4,8,1,51
211587,-2,3,3,2,4,4,4,2,4,2,3,3,1,2,2,2,3,7,1,26
211620,-2,4,4,5,4,5,5,4,4,5,4,4,5,4,4,5,4,9,1,37
211628,-2,5,4,5,5,6,4,4,5,3,1,4,4,2,2,5,3,7,-1,31
211726,-2,6,4,6,2,4,5,4,5,4,3,6,4,4,6,5,,2,-1,14
211702,-2,1,5,4,5,6,5,2,1,3,5,2,4,2,2,2,4,7,1,25
211746,-2,6,6,6,4,6,6,6,6,4,1,6,6,6,4,6,2,9,1,34
211760,-2,6,5,6,6,6,4,5,3,3,3,5,3,3,2,3,1,6,1,21
211763,-2,6,5,6,5,6,5,3,2,4,5,4,3,4,4,3,2,7,1,26
211766,-2,6,5,5,5,6,6,3,2,5,3,6,5,4,2,6,4,9,-1,41
211779,-2,3,6,6,6,4,2,1,4,5,1,4,1,3,3,5,3,7,-1,33
211816,-2,5,6,5,6,6,4,5,3,5,2,4,3,4,3,4,,7,-1,22
211821,-2,5,4,6,4,4,5,4,4,4,2,5,3,4,4,5,4,7,-1,25
211836,-2,6,5,6,6,6,6,4,6,5,3,5,5,3,3,3,3,5,1,23
211874,-2,6,6,6,6,6,6,6,1,6,1,6,6,4,6,6,4,7,-1,26
213852,-2,6,5,4,4,6,5,3,2,3,4,4,2,2,3,3,3,12,-1,34
211933,-2,4,3,6,4,6,3,3,4,4,2,4,1,3,2,3,,5,-1,19
211986,-2,6,6,3,6,6,6,3,1,3,3,6,2,3,3,4,2,9,1,38
212053,-2,6,6,6,5,6,6,2,2,4,1,3,2,1,2,2,4,12,-1,59
212063,-2,6,6,6,6,6,6,1,1,1,1,6,1,1,1,1,2,9,-1,50
212136,-2,5,4,5,5,5,4,3,5,4,3,4,3,4,5,4,4,5,1,21
212149,-2,6,4,6,5,6,5,4,2,3,5,4,3,2,2,3,2,7,-1,30
212195,-2,6,6,5,6,6,5,6,2,5,1,5,2,2,1,4,4,5,-1,37
212264,-2,6,5,6,5,6,6,2,2,2,3,5,3,2,2,4,2,8,1,26
