WUSTLID,emote,treatd,lovec,auth,purity,attchecka,weak,unfair,betray,conform,disgust,compat,treatf,proudc,authc,nodisgust,attcheckb,hurt,justice,loyalf,roles,notnat,demfeel,repfeel,libfeel,consfeel,pid3,ideo7
990636,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990639,3,3,3,3,3,1,2,4,4,1,4,3,4,6,6,6,6,4,6,3,3,4,0,5,0,6,2,5
990640,2,5,3,2,2,2,5,5,3,2,5,5,6,5,3,3,6,6,6,5,1,1,6,7,7,7,3,6
990641,4,4,3,3,5,2,5,5,2,2,3,6,5,4,3,3,5,6,5,3,4,3,6,4,8,5,3,3
990642,2,4,1,4,4,2,4,5,2,2,4,4,5,4,2,5,6,1,6,4,1,4,6,4,6,4,3,3
990643,5,4,1,1,3,1,5,5,5,3,2,6,5,6,4,1,6,6,5,6,4,1,10,0,10,0,1,2
990644,5,5,5,5,5,2,5,5,5,5,5,4,5,4,6,6,6,6,6,5,3,4,8,3,10,4,1,3
990648,2,2,1,3,5,1,5,5,5,2,5,5,5,1,4,6,6,5,6,5,5,1,7,0,10,0,NA,1
990649,1,1,1,4,4,1,4,4,1,1,5,5,4,6,6,6,6,6,5,5,5,6,0,9,1,10,2,6
990650,5,5,1,5,5,1,3,5,3,3,5,4,4,NA,6,6,6,6,4,2,4,6,5,5,5,5,NA,NA
990651,5,5,5,5,5,3,5,5,5,4,5,6,6,6,6,6,6,6,6,2,2,5,10,0,9,0,1,3
990653,4,5,3,3,2,1,5,5,1,1,2,3,6,6,4,2,6,5,6,1,3,1,3,5,3,4,3,5
990654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990657,4,4,4,4,4,5,4,4,4,4,3,6,6,5,5,5,6,4,5,6,2,3,9,5,9,5,1,2
990658,4,5,5,4,4,1,4,4,1,1,1,5,6,6,6,6,6,4,5,4,5,5,6,5,6,2,3,6
990660,5,5,5,5,5,3,5,5,5,5,5,6,6,NA,NA,NA,6,6,6,5,1,3,5,5,5,5,1,4
990661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990664,3,3,2,4,4,2,3,4,5,1,3,4,4,4,6,6,5,5,4,4,6,6,0,0,0,0,3,NA
